latitude longitude "depth (km)" "Vp (km/s)" "Vs (km/s)" Vp/Vs DWS_Vp
-38.0793 176.6619 7.0 6.069 3.67 1.704 5702.0
-38.002 176.6675 7.0 5.762 3.291 1.639 1345.7
-38.3583 176.1542 9.0 5.493 3.445 1.66 710.5
-38.3867 176.1988 9.0 5.561 3.606 1.67 275.3
-38.3233 176.1903 9.0 5.497 3.533 1.66 477.4
-38.3517 176.2348 9.0 5.504 3.47 1.68 309.7
-38.38 176.2794 9.0 6.016 3.453 1.67 291.7
-38.2543 176.1728 9.0 5.564 3.65 1.67 311.1
-38.2883 176.2263 9.0 5.422 3.434 1.66 232.6
-38.3167 176.2708 9.0 5.527 3.308 1.68 186.0
-38.345 176.3154 9.0 5.702 3.492 1.67 215.3
-38.3734 176.36 9.0 6.068 3.483 1.67 285.9
-38.2193 176.2088 9.0 5.527 3.462 1.67 103.6
-38.31 176.3514 9.0 5.535 3.686 1.65 119.0
-38.3384 176.396 9.0 5.787 3.575 1.66 285.4
-38.3667 176.4406 9.0 5.899 3.383 1.67 708.0
-38.3951 176.4853 9.0 6.051 3.806 1.67 1467.3
-38.1446 176.1825 9.0 5.873 3.857 1.71 100.2
-38.3034 176.432 9.0 6.01 3.547 1.66 408.2
-38.3317 176.4766 9.0 5.913 3.506 1.66 1137.7
-38.3601 176.5213 9.0 6.205 3.818 1.68 1680.5
-38.3941 176.5748 9.0 6.104 3.456 1.71 521.0
-38.2684 176.468 9.0 5.893 3.174 1.66 353.2
-38.2967 176.5126 9.0 5.858 3.582 1.66 987.7
-38.325 176.5572 9.0 5.724 3.741 1.68 981.1
-38.3591 176.6108 9.0 5.787 3.447 1.7 572.7
-38.3988 176.6733 9.0 6.045 3.559 1.7 214.1
-38.1483 176.3702 9.0 5.614 3.62 1.63 118.6
-38.1767 176.4148 9.0 5.654 3.744 1.64 138.6
-38.205 176.4593 9.0 5.507 3.485 1.65 269.6
-38.2334 176.5039 9.0 5.726 3.191 1.66 557.6
-38.2617 176.5485 9.0 5.637 3.725 1.66 1790.0
-38.29 176.5931 9.0 5.888 3.602 1.68 1642.0
-38.3241 176.6467 9.0 5.726 3.498 1.7 658.9
-38.0793 176.3527 9.0 5.701 3.539 1.65 134.0
-38.1133 176.4062 9.0 5.64 3.622 1.64 244.7
-38.1417 176.4507 9.0 5.632 3.523 1.65 529.4
-38.17 176.4953 9.0 5.511 3.376 1.66 781.1
-38.1984 176.5399 9.0 5.84 3.895 1.66 1599.5
-38.2267 176.5845 9.0 6.323 4.081 1.66 3595.0
-38.255 176.6291 9.0 6.325 3.573 1.69 2181.2
-38.2891 176.6826 9.0 5.917 3.644 1.7 850.7
-38.0046 176.3264 9.0 5.585 3.524 1.7 105.8
-38.0443 176.3887 9.0 5.56 3.554 1.66 201.6
-38.0783 176.4421 9.0 5.979 3.594 1.65 540.0
-38.1067 176.4866 9.0 5.84 3.453 1.66 733.2
-38.135 176.5312 9.0 5.746 3.514 1.66 1687.4
-38.1633 176.5758 9.0 6.203 3.995 1.66 2205.4
-38.1917 176.6204 9.0 5.895 3.754 1.67 2714.3
-38.22 176.665 9.0 5.791 3.633 1.7 1006.9
-38.0093 176.4246 9.0 5.764 3.569 1.67 398.4
-38.0433 176.478 9.0 6.46 3.539 1.67 578.3
-38.0717 176.5225 9.0 5.81 3.521 1.67 922.7
-38.1 176.5671 9.0 6.02 3.574 1.67 2116.0
-38.1283 176.6117 9.0 6.286 4.184 1.67 2348.6
-38.1567 176.6563 9.0 5.961 3.714 1.684 2594.2
-38.0226 176.5728 9.0 5.933 3.351 1.67 684.1
-38.051 176.6173 9.0 5.877 3.177 1.67 1086.3
-38.0793 176.6619 9.0 5.846 4.103 1.67 1508.2
-38.002 176.6675 9.0 5.72 3.226 1.68 535.4
-38.3583 176.1542 12.0 5.826 3.488 1.68 154.6
-38.3667 176.4406 12.0 6.037 3.565 1.68 127.6
-38.3951 176.4853 12.0 6.284 3.613 1.68 225.4
-38.1446 176.1825 12.0 6.17 3.552 1.72 126.5
-38.3317 176.4766 12.0 5.864 3.407 1.67 139.0
-38.3601 176.5213 12.0 6.236 3.604 1.69 208.9
-38.3941 176.5748 12.0 6.508 3.653 1.7 815.8
-38.2967 176.5126 12.0 5.901 3.415 1.68 329.9
-38.325 176.5572 12.0 6.056 3.586 1.69 826.3
-38.3591 176.6108 12.0 6.347 3.618 1.7 1099.0
-38.3988 176.6733 12.0 6.154 3.694 1.7 1253.2
-38.0293 176.1833 12.0 6.117 3.549 1.73 122.1
-38.2617 176.5485 12.0 5.894 3.624 1.68 696.0
-38.29 176.5931 12.0 6.292 3.388 1.69 1043.4
-38.3241 176.6467 12.0 5.733 3.408 1.7 1322.8
-38.0396 176.2904 12.0 6.063 3.5 1.72 202.4
-38.1984 176.5399 12.0 5.94 3.811 1.68 310.2
-38.2267 176.5845 12.0 6.0 4.033 1.68 733.0
-38.255 176.6291 12.0 6.343 3.645 1.69 1120.8
-38.2891 176.6826 12.0 6.535 3.479 1.7 1668.3
-38.0046 176.3264 12.0 5.814 3.506 1.72 209.7
-38.0443 176.3887 12.0 5.905 3.476 1.7 109.2
-38.135 176.5312 12.0 6.097 3.639 1.69 129.2
-38.1633 176.5758 12.0 5.769 3.825 1.68 433.1
-38.1917 176.6204 12.0 6.095 3.874 1.68 776.3
-38.22 176.665 12.0 5.984 3.71 1.69 938.4
-38.1 176.5671 12.0 6.285 3.686 1.69 195.7
-38.1283 176.6117 12.0 5.931 3.923 1.68 417.7
-38.1567 176.6563 12.0 5.878 3.815 1.69 671.2
-38.0226 176.5728 12.0 6.392 3.659 1.7 254.6
-38.051 176.6173 12.0 6.783 3.735 1.7 528.7
-38.0793 176.6619 12.0 5.995 3.751 1.69 564.7
-38.002 176.6675 12.0 6.613 3.782 1.7 344.5
